content_resource_id,avg_time,resource_type,avg_tries,Students Completed
16223858,4762.2807017543855,multiple_choice,3.0918367346938775,98
16223861,18.627450980392158,multiple_choice,4.0,98
16223878,17048.6,multiple_choice,4.969387755102041,98
16223880,39.260416666666664,custom,11.051546391752577,97
16224006,673.6263736263736,custom,5.43956043956044,91
16224007,28.274725274725274,custom,6.153846153846154,91
16224009,2376.696629213483,custom,4.382022471910112,88
16224010,3.375,multiple_choice,2.688888888888889,90
16224017,127.26966292134831,custom,4.280898876404494,87
16224019,43.47191011235955,custom,4.258426966292135,86
16224020,11.02127659574468,multiple_choice,5.604395604395604,91
16224023,7.444444444444445,multiple_choice,4.411111111111111,90
16224024,4.297872340425532,multiple_choice,2.7444444444444445,90
16224026,581.2222222222222,custom,5.444444444444445,90
16224032,111.01123595505618,custom,4.179775280898877,89
16224034,29.403846153846153,multiple_choice,7.2,90
16224036,56.46067415730337,custom,3.404494382022472,87
16224037,10.088888888888889,multiple_choice,5.277777777777778,90
16224042,19.84269662921348,custom,8.96629213483146,89
16224043,7.4,multiple_choice,5.322222222222222,90
16224045,2127.3483146067415,custom,4.404494382022472,89
16224050,52.662921348314605,custom,10.651685393258427,89
16224052,9.1875,multiple_choice,5.573033707865169,89
16224058,84.39080459770115,custom,5.333333333333333,87
16224059,6.0,multiple_choice,3.4444444444444446,90
16224064,15.015384615384615,multiple_choice,6.393258426966292,89
16224065,48.38961038961039,short_answer,8.88888888888889,90
16224068,2.5294117647058822,multiple_choice,2.78021978021978,91
16224075,42.775,multiple_choice,12.55056179775281,89
16224078,7.549019607843137,multiple_choice,4.188235294117647,85
16224081,11.569767441860465,custom,6.22093023255814,86
16224083,40.423529411764704,custom,4.258823529411765,85
16224086,27.17241379310345,multiple_choice,7.435294117647059,85
16224087,1432.964705882353,custom,4.223529411764706,84
16224088,47.285714285714285,multiple_choice,5.906976744186046,86
16224091,50.27058823529412,custom,6.2823529411764705,85
16224094,6.018867924528302,multiple_choice,3.541176470588235,85
16224095,3584.014492753623,custom,6.463768115942029,66
16224096,7.117647058823529,multiple_choice,4.838235294117647,68
16224099,11.405405405405405,multiple_choice,6.757575757575758,66
16224116,22.071428571428573,custom,11.928571428571429,84
16224118,7.618181818181818,multiple_choice,4.602409638554217,83
16224128,17.011904761904763,custom,7.833333333333333,84
16224137,2644.214285714286,custom,11.392857142857142,84
16224138,1156.525,short_answer,4.686746987951807,83
16510097,50.1,multiple_choice,2.894230769230769,103
16510100,30759.628571428573,custom,8.632075471698114,103
16510133,16195.6,custom,9.776699029126213,99
16510148,37.744897959183675,custom,5.222222222222222,99
16510149,2784.1428571428573,multiple_choice,14.494949494949495,99
16510154,16140.486111111111,custom,4.191919191919192,99
16510155,10055.0,custom,5.929292929292929,99
16510160,71.78571428571429,multiple_choice,13.484848484848484,99
16510166,121.0618556701031,custom,5.343434343434343,99
16510167,24.956521739130434,multiple_choice,4.666666666666667,99
16510172,63.295918367346935,custom,3.393939393939394,98
16510180,189.88372093023256,multiple_choice,4.888888888888889,99
16510194,34.16494845360825,custom,4.612244897959184,98
16510198,3188.316326530612,custom,3.3535353535353534,98
16510200,6363.061224489796,custom,6.404040404040404,98
16510201,45.53846153846154,multiple_choice,6.1313131313131315,99
16510203,4629.897959183673,custom,4.616161616161616,99
16510205,34.90816326530612,custom,9.222222222222221,99
16510209,9110.896907216495,custom,5.326530612244898,98
16510211,755.3979591836735,custom,13.666666666666666,99
16510221,24.772727272727273,short_answer,2.6565656565656566,99
16510224,39.916666666666664,multiple_choice,4.242424242424242,99
16510225,71.6056338028169,multiple_choice,7.696969696969697,99
16510227,56.11363636363637,multiple_choice,5.94949494949495,99
16510235,141.5204081632653,custom,7.061224489795919,97
16510241,57.083333333333336,custom,2.8958333333333335,96
16510244,524.5774647887324,short_answer,7.86734693877551,97
16510246,16.4,multiple_choice,4.865979381443299,97
16510255,31014.071428571428,custom,4.105263157894737,95
16510256,21262.28947368421,custom,3.1894736842105265,95
16510272,64.0,multiple_choice,13.804123711340207,97
16510274,28.73469387755102,multiple_choice,5.729166666666667,96
16510278,2.8857142857142857,multiple_choice,1.5625,96
16510290,3755.872340425532,custom,3.473684210526316,95
16510291,19735.723076923077,custom,6.936842105263158,93
16510292,4480.8,custom,3.3333333333333335,95
16510297,113.82352941176471,short_answer,8.442105263157895,95
16510302,115.28571428571429,short_answer,7.572916666666667,95
16510308,3012.6923076923076,multiple_choice,7.126315789473685,95
16510309,16765.779411764706,custom,5.835051546391752,97
16510313,9582.039215686274,short_answer,10.410526315789474,95
16510314,47.75,multiple_choice,4.578947368421052,95
16510316,16.736842105263158,multiple_choice,7.34375,96
16510318,5717.4,custom,4.6,93
16510320,682.9285714285714,multiple_choice,7.389473684210526,95
16510327,25796.845070422536,custom,6.691489361702128,93
